rank,Word
983,floor
984,whether
985,everything's
986,present
987,earth
988,private
989,Jessica
990,box
991,Dawson
992,cover
993,judge
994,upstairs
995,Alexis
996,Shawn
997,sake
998,mommy
999,possibly
1000,worst
1001,station
1002,acting
1003,accept
1004,blow
1005,strange
1006,saved
1007,Ivy
1008,conversation
1009,plane
1010,mama
1011,yesterday
1012,lied
1013,quick
1014,lately
1015,stuck
1016,lovely
1017,security
1018,report
1019,Barbara
1020,difference
1021,rid
1022,tv
1023,Adam
1024,store
1025,she'd
1026,bag
1027,Mike
1028,bought
1029,ball
1030,single
1031,Kevin
1032,doubt
1033,listening
1034,major
1035,walking
1036,cops
1037,blue
1038,deep
1039,dangerous
1040,Buffy
1041,park
1042,sleeping
1043,Chloe
1044,Rafe
1045,shh
1046,record
1047,lord
1048,Erica
1049,moved
1050,join
1051,key
1052,captain
1053,card
1054,crime
1055,gentlemen
1056,willing
1057,window
1058,return
1059,walked
1060,guilty
1061,Brenda
1062,likes
1063,fighting
1064,difficult
1065,soul
1066,joke
1067,service
1068,magic
1069,favorite
1070,uncle
1071,promised
1072,public
1073,bother
1074,island
1075,Jim
1076,seriously
1077,cell
1078,lead
1079,knowing
1080,broken
1081,advice
1082,somehow
1083,paid
1084,Blair
1085,losing
1086,push
1087,helped
1088,killing
1089,usually
1090,earlier
1091,boss
1092,Laura
1093,beginning
1094,liked
1095,innocent
1096,doc
1097,rules
1098,Elizabeth
1099,Sabrina
1100,summer
1101,ex
1102,cop
1103,learned
1104,thirty
1105,risk
1106,letting
1107,Phillip
1108,speaking
1109,officer
1110,ridiculous
1111,support
1112,afternoon
1113,Eric
1114,born
1115,dreams
1116,apologize
1117,seat
1118,nervous
1119,across
1120,song
1121,Olivia
1122,charge
1123,patient
1124,Cassie
1125,boat
1126,how'd
1127,brain
1128,hide
1129,detective
1130,Aaron
1131,Kendall
1132,general
1133,Tom
1134,planning
1135,nine
1136,huge
1137,breakfast
1138,horrible
1139,age
1140,awful
1141,pleasure
1142,driving
1143,hanging
1144,picked
1145,system
1146,sell
1147,quit
1148,apparently
1149,dying
1150,notice
1151,Josh
1152,congratulations
1153,chief
1154,faith
1155,Simon
1156,gay
1157,ho
1158,one's
1159,month
1160,visit
1161,Hal
1162,could've
1163,c'mon
1164,aw
1165,Edmund
1166,Brady
1167,letter
1168,decide
1169,American
1170,double
1171,Troy
1172,sad
1173,press
1174,forward
1175,fool
1176,showed
1177,smell
1178,seemed
1179,Mary
1180,spell
1181,Courtney
1182,memory
1183,Mark
1184,Alan
1185,pictures
1186,Paris
1187,slow
1188,Joe
1189,Tim
1190,seconds
1191,hungry
1192,board
1193,position
1194,hearing
1195,Roz
1196,kitchen
1197,ma'am
1198,Bob
1199,force
1200,fly
1201,during
1202,space
1203,should've
1204,realized
1205,experience
1206,kick
1207,others
1208,grab
1209,mother's
1210,P.
1211,Sharon
1212,discuss
1213,third
1214,cat
1215,fifty
1216,responsible
1217,Jennifer
1218,Philip
1219,miles
1220,fat
1221,reading
1222,idiot
1223,yep
1224,rock
1225,rich
1226,suddenly
1227,agent
1228,bunch
1229,destroy
1230,bucks
1231,track
1232,shoes
1233,scene
1234,peace
1235,arms
1236,demon
1237,Diane
1238,Bridget
1239,Brad
1240,low
1241,Livvie
1242,consider
1243,papers
1244,medical
1245,incredible
1246,witch
1247,er
1248,drunk
1249,attorney
1250,Charlie
1251,tells
1252,knock
1253,Karen
1254,ways
1255,eh
1256,belle
1257,cash
1258,gives
1259,department
1260,nose
1261,Skye
1262,turns
1263,keeps
1264,beer
1265,jealous
1266,drug
1267,Molly
1268,sooner
1269,cares
1270,plenty
1271,extra
1272,tea
1273,won
1274,attack
1275,ground
1276,whose
1277,outta
1278,Kyle
1279,L.
1280,weekend
1281,matters
1282,wrote
1283,type
1284,father's
1285,Alex
1286,gosh
1287,opportunity
1288,king
1289,impossible
1290,books
1291,machine
1292,waste
1293,th
1294,pretend
1295,named
1296,danger
1297,wall
1298,Liz
